Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Central obesity,Sthoulya,Obesity,Medo-vāha,Kapha
Thigh fat accumulation,Sthoulya,Obesity,Medo-vāha,Kapha
Arm fat accumulation,Sthoulya,Obesity,Medo-vāha,Kapha
Double chin,Sthoulya,Obesity,Medo-vāha,Kapha
Neck fat pad,Sthoulya,Obesity,Medo-vāha,Kapha
Bad body odor,Daurgandhya,Obesity,Medo-vāha,Kapha
Shortness of breath on exertion,Shvāsa,Obesity,Medo-vāha,Vata and Kapha
Daytime sleepiness,Nidra Atiyoga,Obesity,Medo-vāha,Kapha
Sluggishness,Agnimandya,Obesity,Medo-vāha,Kapha
Poor digestion,Agnimandya,Obesity,Medo-vāha,Kapha
Loss of appetite regulation,Agnimandya,Obesity,Medo-vāha,Kapha
Craving for salty foods,Sthoulya,Obesity,Medo-vāha,Kapha
Thirst disturbances,Trishna,Obesity,Medo-vāha,Pitta and Kapha
Increased thirst,Trishna,Obesity,Medo-vāha,Pitta
Excessive saliva,Mukha Srava,Obesity,Medo-vāha,Kapha
Thick saliva,Mukha Srava,Obesity,Medo-vāha,Kapha
Ankle pain,Gulpha Shoola,Obesity,Medo-vāha,Vata
Restricted mobility,Sthoulya,Obesity,Medo-vāha,Vata
Reduced stamina,Daurbalya,Obesity,Medo-vāha,Kapha
Mental dullness,Manas Mandya,Obesity,Medo-vāha,Kapha
Low motivation,Manas Vyatha,Obesity,Medo-vāha,Kapha
Swelling in feet,Shotha,Obesity,Medo-vāha,Kapha
Abdominal fat accumulation,Sthoulya,Obesity,Medo-vāha,Kapha
Metabolic syndrome,Sthoulya,Obesity,Medo-vāha,Kapha
Excessive thirst in diabetes,Prameha,Obesity,Medo-vāha,Pitta
Polycystic ovarian features,Granthi,Obesity,Medo-vāha,Kapha
Hormonal imbalance,Sthoulya,Obesity,Medo-vāha,Kapha
Excessive hair growth,Hirsutism,Obesity,Medo-vāha,Kapha
Skin darkening around neck,Acanthosis Nigricans,Obesity,Medo-vāha,Kapha
Stretch marks,Sthoulya,Obesity,Medo-vāha,Kapha
Reduced physical activity tolerance,Sthoulya,Obesity,Medo-vāha,Vata and Kapha
Frequent headaches,Shirashoola,Obesity,Medo-vāha,Vata
Loss of self-confidence,Manas Vyatha,Obesity,Medo-vāha,Kapha
Unexplained weight loss,Kshaya,Metabolic,Medo-vāha,Vata
Unexplained weight gain,Sthoulya,Metabolic,Medo-vāha,Kapha
High triglycerides,Medoroga,Metabolic,Medo-vāha,Kapha
Low energy,Daurbalya,Metabolic,Medo-vāha,Vata
Fruity breath odor,Prameha,Metabolic,Medo-vāha,Kapha
Heat intolerance,Pittaja Roga,Metabolic,Medo-vāha,Pitta
Skin darkening (acanthosis),Medoroga,Metabolic,Medo-vāha,Kapha
Fluid retention,Shotha,Metabolic,Medo-vāha,Kapha
Hypothyroidism,Manda Agni,Metabolic,Medo-vāha,Kapha
Hyperthyroidism,Tikshna Agni,Metabolic,Medo-vāha,Pitta
Swollen neck glands,Granthi,Metabolic,Medo-vāha,Kapha
Excessive appetite,Kshudha Atiyoga,Metabolic,Medo-vāha,Vata
Poor circulation,Rakta Stambha,Metabolic,Medo-vāha,Kapha
Urinary infections,Mutrakrichra,Metabolic,Medo-vāha,Pitta
Insulin resistance,Prameha,Metabolic,Medo-vāha,Kapha
Low immunity,Ojakshaya,Metabolic,Medo-vāha,Tridosha
Body heaviness,Gaurava,Metabolic,Medo-vāha,Kapha
Poor tolerance to exertion,Daurbalya,Metabolic,Medo-vāha,Vata
Elbow pain,Kubital Shoola,Musculoskeletal,Asthi-vāha,Vata
Wrist pain,Manibandha Shoola,Musculoskeletal,Asthi-vāha,Vata
Foot pain,Padashoola,Musculoskeletal,Asthi-vāha,Vata
Bone weakness,Asthi Kshaya,Musculoskeletal,Asthi-vāha,Vata
Recurrent fractures,Bhagna,Musculoskeletal,Asthi-vāha,Vata
Delayed fracture healing,Bhagna,Musculoskeletal,Asthi-vāha,Vata
Bone deformity,Asthi Vikara,Musculoskeletal,Asthi-vāha,Vata
Curved spine,Kubjata,Musculoskeletal,Asthi-vāha,Vata
Kyphosis,Kubjata,Musculoskeletal,Asthi-vāha,Vata
Lordosis,Kubjata,Musculoskeletal,Asthi-vāha,Vata
Low back stiffness,Kati Shoola,Musculoskeletal,Asthi-vāha,Vata and Kapha
Sciatica,Gridhrasi,Musculoskeletal,Asthi-vāha,Vata
Numbness in leg,Supti,Musculoskeletal,Asthi-vāha,Vata
Tingling in leg,Supti,Musculoskeletal,Asthi-vāha,Vata
Muscle stiffness,Mamsa Sanghata,Musculoskeletal,Asthi-vāha,Vata and Kapha
Restricted shoulder movement,Ansashoola,Musculoskeletal,Asthi-vāha,Vata and Kapha
Carpal tunnel-like pain,Manibandha Vikara,Musculoskeletal,Asthi-vāha,Vata
Hand joint pain,Hasta Sandhi Shoola,Musculoskeletal,Asthi-vāha,Vata
Finger joint stiffness,Hasta Sandhi Vikara,Musculoskeletal,Asthi-vāha,Vata
Finger deformity,Hasta Vikara,Musculoskeletal,Asthi-vāha,Vata
Swollen fingers,Hasta Shotha,Musculoskeletal,Asthi-vāha,Kapha
Toe joint pain,Padashoola,Musculoskeletal,Asthi-vāha,Vata
Toe deformity,Padavikara,Musculoskeletal,Asthi-vāha,Vata
Flat feet,Padavikara,Musculoskeletal,Asthi-vāha,Kapha
Plantar fasciitis-like pain,Padashoola,Musculoskeletal,Asthi-vāha,Vata
Heel pain,Padashoola,Musculoskeletal,Asthi-vāha,Vata
Jaw joint pain,Hanu Shoola,Musculoskeletal,Asthi-vāha,Vata
Jaw stiffness,Hanu Vikara,Musculoskeletal,Asthi-vāha,Vata
Teeth grinding (bruxism),Hanu Vikara,Musculoskeletal,Asthi-vāha,Vata
Cervical spondylosis,Griva Vikara,Musculoskeletal,Asthi-vāha,Vata
Lumbar spondylosis,Kati Vikara,Musculoskeletal,Asthi-vāha,Vata
Spinal stiffness,Prishtha Stambha,Musculoskeletal,Asthi-vāha,Vata
Spinal pain,Prishtha Shoola,Musculoskeletal,Asthi-vāha,Vata
Herniated disc,Vata Vyadhi,Musculoskeletal,Asthi-vāha,Vata
Disc degeneration,Vata Vyadhi,Musculoskeletal,Asthi-vāha,Vata
Spinal nerve compression,Vata Vyadhi,Musculoskeletal,Asthi-vāha,Vata
Leg cramps,Mamsa Spandana,Musculoskeletal,Asthi-vāha,Vata
Swollen knees,Janu Shotha,Musculoskeletal,Asthi-vāha,Kapha
Crepitus in knee,Janu Sandhi Vikara,Musculoskeletal,Asthi-vāha,Vata
Knee instability,Janu Vikara,Musculoskeletal,Asthi-vāha,Vata
Hip stiffness,Kati Vikara,Musculoskeletal,Asthi-vāha,Vata
Hip deformity,Kati Vikara,Musculoskeletal,Asthi-vāha,Vata
Pelvic pain,Kati Shoola,Musculoskeletal,Asthi-vāha,Vata
Pelvic stiffness,Kati Vikara,Musculoskeletal,Asthi-vāha,Vata
Bone marrow weakness,Majja Kshaya,Musculoskeletal,Asthi-vāha,Vata
Bone brittleness,Asthi Kshaya,Musculoskeletal,Asthi-vāha,Vata
Fragile bones,Asthi Kshaya,Musculoskeletal,Asthi-vāha,Vata
Delayed bone growth,Asthi Vikara,Musculoskeletal,Asthi-vāha,Vata
Joint creaking sound,Sandhi Nada,Musculoskeletal,Asthi-vāha,Vata
Cracking joints,Sandhi Nada,Musculoskeletal,Asthi-vāha,Vata
Joint instability,Sandhi Vikara,Musculoskeletal,Asthi-vāha,Vata
Swollen ankles,Gulpha Shotha,Musculoskeletal,Asthi-vāha,Kapha
Foot deformity,Padavikara,Musculoskeletal,Asthi-vāha,Vata
Hand weakness,Hasta Kshaya,Musculoskeletal,Asthi-vāha,Vata
Shoulder instability,Ansavikara,Musculoskeletal,Asthi-vāha,Vata
Recurrent dislocation,Bhagna,Musculoskeletal,Asthi-vāha,Vata
Tendon pain,Sira Shoola,Musculoskeletal,Asthi-vāha,Vata
Tendon stiffness,Sira Vikara,Musculoskeletal,Asthi-vāha,Vata
Ligament pain,Sira Shoola,Musculoskeletal,Asthi-vāha,Vata
Ligament laxity,Sira Vikara,Musculoskeletal,Asthi-vāha,Vata
Strain,Snayu Vikara,Musculoskeletal,Asthi-vāha,Vata
Soft tissue swelling,Mamsa Shotha,Musculoskeletal,Asthi-vāha,Kapha
Myalgia,Mamsa Shoola,Musculoskeletal,Asthi-vāha,Vata
Polymyalgia-like pain,Mamsa Shoola,Musculoskeletal,Asthi-vāha,Vata
Generalized body ache,Angamarda,Musculoskeletal,Asthi-vāha,Vata
Fatigue-related body ache,Angamarda,Musculoskeletal,Asthi-vāha,Vata
Stiff gait,Vata Vyadhi,Musculoskeletal,Asthi-vāha,Vata
Limping gait,Vata Vyadhi,Musculoskeletal,Asthi-vāha,Vata
Weak grip strength,Hasta Kshaya,Musculoskeletal,Asthi-vāha,Vata
Reduced hand dexterity,Hasta Vikara,Musculoskeletal,Asthi-vāha,Vata
Frozen fingers,Hasta Vikara,Musculoskeletal,Asthi-vāha,Vata
Weak bones in children,Asthi Kshaya,Musculoskeletal,Asthi-vāha,Vata
Rickets-like deformity,Asthi Vikara,Musculoskeletal,Asthi-vāha,Vata
Osteomalacia-like weakness,Asthi Vikara,Musculoskeletal,Asthi-vāha,Vata
Bell’s palsy,Ardita,Nervous,Majjā-vāha,Vata
Fine tremors,Kampavata,Nervous,Majjā-vāha,Vata
Resting tremors,Kampavata,Nervous,Majjā-vāha,Vata
Intention tremors,Kampavata,Nervous,Majjā-vāha,Vata
Shaking hands,Kampavata,Nervous,Majjā-vāha,Vata
Epileptic convulsions,Apasmara,Nervous,Majjā-vāha,Vata
Unconsciousness,Murchha,Nervous,Majjā-vāha,Vata and Pitta
Syncope,Murchha,Nervous,Majjā-vāha,Vata
Fainting spells,Murchha,Nervous,Majjā-vāha,Vata
Throbbing headache,Ardhavabhedaka,Nervous,Majjā-vāha,Pitta
Cluster headache,Shirashoola,Nervous,Majjā-vāha,Vata
Nerve pain,Nadi Shoola,Nervous,Majjā-vāha,Vata
Neuropathy,Nadi Dushti,Nervous,Majjā-vāha,Vata
Burning feet,Daha,Nervous,Majjā-vāha,Pitta
Burning hands,Daha,Nervous,Majjā-vāha,Pitta
Pins and needles,Supti,Nervous,Majjā-vāha,Vata
Loss of coordination,Ataxia,Nervous,Majjā-vāha,Vata
Dragging foot gait,Padagati Vikara,Nervous,Majjā-vāha,Vata
Loss of speech,Vak Stambha,Nervous,Majjā-vāha,Vata
Short-term memory loss,Smriti Bhramsha,Nervous,Majjā-vāha,Vata
Long-term memory loss,Smriti Bhramsha,Nervous,Majjā-vāha,Vata
Dementia,Smriti Nashta,Nervous,Majjā-vāha,Vata
Difficulty focusing,Dhriti Bhramsha,Nervous,Majjā-vāha,Vata
Sleep paralysis,Anidra,Nervous,Majjā-vāha,Vata
Emotional instability,Unmada,Nervous,Majjā-vāha,Vata
Autonomic dysfunction,Nadi Dushti,Nervous,Majjā-vāha,Vata
Poor reflexes,Nadi Dushti,Nervous,Majjā-vāha,Vata
Hyperreflexia,Nadi Vikara,Nervous,Majjā-vāha,Pitta
Hyporeflexia,Nadi Vikara,Nervous,Majjā-vāha,Vata
Spasticity,Mamsa Sanghata,Nervous,Majjā-vāha,Vata
Rigidity,Stambha,Nervous,Majjā-vāha,Vata
Flaccidity,Mamsa Kshaya,Nervous,Majjā-vāha,Vata
Spasms,Mamsa Sanghata,Nervous,Majjā-vāha,Vata
Restless legs,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Postural instability,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Torticollis,Griva Vikara,Nervous,Majjā-vāha,Vata
Double vision,Timira,Nervous,Majjā-vāha,Vata and Pitta
Vision loss,Timira,Nervous,Majjā-vāha,Vata
Ringing in ears,Karna Nada,Nervous,Majjā-vāha,Vata
Ear fullness,Karna Purana,Nervous,Majjā-vāha,Kapha
Balance loss,Bhrama,Nervous,Majjā-vāha,Vata
Poor motor control,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Clumsiness,Ataxia,Nervous,Majjā-vāha,Vata
Leg weakness,Padakshaya,Nervous,Majjā-vāha,Vata
Foot drop,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Grip weakness,Hasta Vikara,Nervous,Majjā-vāha,Vata
Speech slurring,Vak Vikara,Nervous,Majjā-vāha,Vata
Loss of bladder control,Mutra Vega Dharana Hani,Nervous,Majjā-vāha,Vata
Loss of bowel control,Purisha Vega Dharana Hani,Nervous,Majjā-vāha,Vata
Difficulty urinating,Mutrakrichra,Nervous,Majjā-vāha,Vata
Drooling,Mukha Srava,Nervous,Majjā-vāha,Kapha
Difficulty chewing,Hanu Vikara,Nervous,Majjā-vāha,Vata
Jaw clenching,Hanu Vikara,Nervous,Majjā-vāha,Vata
Chorea-like movements,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Involuntary jerks,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Tics,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Convulsions with fever,Jvara+Apasmara,Nervous,Majjā-vāha,Vata and Pitta
Attention deficit,Dhriti Bhramsha,Nervous,Majjā-vāha,Vata
Cognitive decline,Smriti Bhramsha,Nervous,Majjā-vāha,Vata
Learning difficulties,Medha Hani,Nervous,Majjā-vāha,Vata
Low alertness,Manas Mandya,Nervous,Majjā-vāha,Kapha
Irrational behavior,Unmada,Nervous,Majjā-vāha,Vata
Speech loss,Vak Stambha,Nervous,Majjā-vāha,Vata
Drooping face,Ardita,Nervous,Majjā-vāha,Vata
Abnormal gait,Vata Vyadhi,Nervous,Majjā-vāha,Vata
Staggering gait,Ataxia,Nervous,Majjā-vāha,Vata
Weak reflexes,Nadi Vikara,Nervous,Majjā-vāha,Vata
Overactive reflexes,Nadi Vikara,Nervous,Majjā-vāha,Pitta
Trembling voice,Swarabheda,Nervous,Majjā-vāha,Vata
Loss of coordination in hands,Hasta Vikara,Nervous,Majjā-vāha,Vata
Poor sperm motility,Shukra Dushti,Reproductive – male,Śukra-vāha,Kapha
Abnormal sperm morphology,Shukra Dushti,Reproductive – male,Śukra-vāha,Pitta
Weak erection,Klaibya,Reproductive – male,Śukra-vāha,Vata
Delayed ejaculation,Klaibya,Reproductive – male,Śukra-vāha,Vata
Absence of ejaculation,Klaibya,Reproductive – male,Śukra-vāha,Vata
Nocturnal emissions,Swapnadosha,Reproductive – male,Śukra-vāha,Vata
Excessive semen discharge,Shukra Atipravritti,Reproductive – male,Śukra-vāha,Vata
Semen leakage after urination,Shukrameha,Reproductive – male,Śukra-vāha,Vata
Blood in semen,Shukra Raktadosha,Reproductive – male,Śukra-vāha,Pitta
Thick semen,Shukra Dushti,Reproductive – male,Śukra-vāha,Kapha
Thin watery semen,Shukra Kshaya,Reproductive – male,Śukra-vāha,Vata
Loss of semen vitality,Shukra Kshaya,Reproductive – male,Śukra-vāha,Vata
Testicular pain,Shukra Shoola,Reproductive – male,Śukra-vāha,Vata
Swollen testicles,Shukra Shotha,Reproductive – male,Śukra-vāha,Kapha
Testicular heaviness,Shukra Shotha,Reproductive – male,Śukra-vāha,Kapha
Testicular atrophy,Shukra Kshaya,Reproductive – male,Śukra-vāha,Vata
Enlarged testicles,Shukra Vriddhi,Reproductive – male,Śukra-vāha,Kapha
Varicocele,Sira Vikara,Reproductive – male,Śukra-vāha,Vata and Kapha
Hydrocele,Jalodara,Reproductive – male,Śukra-vāha,Kapha
Groin pain,Shukra Shoola,Reproductive – male,Śukra-vāha,Vata
Scrotal swelling,Shukra Shotha,Reproductive – male,Śukra-vāha,Kapha
Scrotal itching,Shukra Dushti,Reproductive – male,Śukra-vāha,Kapha
Penile pain,Shukra Shoola,Reproductive – male,Śukra-vāha,Vata
Penile ulcers,Shukra Dushti,Reproductive – male,Śukra-vāha,Pitta
Penile curvature,Shukra Vikara,Reproductive – male,Śukra-vāha,Vata
Phimosis,Shukra Vikara,Reproductive – male,Śukra-vāha,Kapha
Paraphimosis,Shukra Vikara,Reproductive – male,Śukra-vāha,Vata
Penile discharge,Shukra Dushti,Reproductive – male,Śukra-vāha,Pitta and Kapha
Urinary dribbling,Mutraghata,Reproductive – male,Śukra-vāha,Vata
Prostate enlargement,Shukra Granthi,Reproductive – male,Śukra-vāha,Kapha
Prostatitis,Shukra Dushti,Reproductive – male,Śukra-vāha,Pitta
Perineal pain,Shukra Shoola,Reproductive – male,Śukra-vāha,Vata
Lower abdominal pain,Shukra Shoola,Reproductive – male,Śukra-vāha,Vata
Pelvic heaviness,Shukra Shotha,Reproductive – male,Śukra-vāha,Kapha
Sexual exhaustion,Shukra Kshaya,Reproductive – male,Śukra-vāha,Vata
Loss of strength after sex,Daurbalya,Reproductive – male,Śukra-vāha,Vata
Mental fatigue after sex,Manas Kshaya,Reproductive – male,Śukra-vāha,Vata
Weak body constitution,Shukra Kshaya,Reproductive – male,Śukra-vāha,Vata
Premature aging,Kshaya,Reproductive – male,Śukra-vāha,Vata
Early graying of hair,Palitya,Reproductive – male,Śukra-vāha,Pitta
Absent menstruation,Artava Kshaya,Reproductive – female,Artava-vāha,Vata and Kapha
Prolonged menstruation,Rakta Pradara,Reproductive – female,Artava-vāha,Pitta
Frequent menstruation,Artava Atipravritti,Reproductive – female,Artava-vāha,Pitta
Painful menstruation,Dysmenorrhea (Kashtartava),Reproductive – female,Artava-vāha,Vata
Pelvic cramps,Kashtartava,Reproductive – female,Artava-vāha,Vata
Back pain during periods,Kashtartava,Reproductive – female,Artava-vāha,Vata
Abdominal bloating during periods,Kashtartava,Reproductive – female,Artava-vāha,Vata
Breast tenderness,Stana Shoola,Reproductive – female,Artava-vāha,Kapha
Breast swelling,Stana Shotha,Reproductive – female,Artava-vāha,Kapha
Premenstrual syndrome,Artava Dushti,Reproductive – female,Artava-vāha,Tridosha
Mood swings before periods,Artava Dushti,Reproductive – female,Artava-vāha,Vata and Pitta
Irritability before periods,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Headache before periods,Artava Dushti,Reproductive – female,Artava-vāha,Vata
Acne during periods,Pittaja Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Excessive sweating during periods,Pittaja Vikara,Reproductive – female,Artava-vāha,Pitta
Fatigue during periods,Daurbalya,Reproductive – female,Artava-vāha,Vata
Low energy after menstruation,Daurbalya,Reproductive – female,Artava-vāha,Vata
Clotting in menstrual blood,Artava Dushti,Reproductive – female,Artava-vāha,Kapha
Foul smelling menstrual blood,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Watery menstrual blood,Artava Dushti,Reproductive – female,Artava-vāha,Vata
Dark menstrual blood,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Precocious puberty,Artava Vriddhi,Reproductive – female,Artava-vāha,Pitta
Polycystic ovarian symptoms,Granthi,Reproductive – female,Artava-vāha,Kapha
Ovarian cysts,Granthi,Reproductive – female,Artava-vāha,Kapha
Endometriosis,Artava Dushti,Reproductive – female,Artava-vāha,Vata and Pitta
Chronic pelvic inflammation,Artava Shotha,Reproductive – female,Artava-vāha,Pitta
Fibroids,Granthi,Reproductive – female,Artava-vāha,Kapha
Excessive uterine bleeding,Rakta Pradara,Reproductive – female,Artava-vāha,Pitta
Spotting between periods,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Intermenstrual bleeding,Rakta Pradara,Reproductive – female,Artava-vāha,Pitta
Ovulation pain,Artava Shoola,Reproductive – female,Artava-vāha,Vata
Mid-cycle spotting,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Difficulty conceiving,Vandhyatva,Reproductive – female,Artava-vāha,Vata and Kapha
Habitual abortion,Artava Dushti,Reproductive – female,Artava-vāha,Vata
Low ovarian reserve,Artava Kshaya,Reproductive – female,Artava-vāha,Vata
Premature ovarian failure,Artava Kshaya,Reproductive – female,Artava-vāha,Vata
Hot flashes,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Pitta
Vaginal dryness,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Vata
Vaginal burning,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Vaginal itching,Yonivyapad,Reproductive – female,Artava-vāha,Kapha
Vaginal discharge,Shweta Pradara,Reproductive – female,Artava-vāha,Kapha
Foul smelling discharge,Shweta Pradara,Reproductive – female,Artava-vāha,Pitta
Excessive discharge,Shweta Pradara,Reproductive – female,Artava-vāha,Kapha
Thick white discharge,Shweta Pradara,Reproductive – female,Artava-vāha,Kapha
Thin watery discharge,Shweta Pradara,Reproductive – female,Artava-vāha,Vata
Greenish discharge,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Yellow discharge,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Blood-stained discharge,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Pain during intercourse,Dyspareunia (Maithuna Asahishnuta),Reproductive – female,Artava-vāha,Vata
Vaginal tightness,Artava Shoola,Reproductive – female,Artava-vāha,Vata
Excess sexual desire,Atichar,Reproductive – female,Artava-vāha,Pitta
Low sexual desire,Artava Dushti,Reproductive – female,Artava-vāha,Kapha
Menopausal anxiety,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Vata
Menopausal depression,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Kapha
Insomnia in menopause,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Vata
Weight gain in menopause,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Kapha
Bone pain after menopause,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Vata
Hair loss after menopause,Rajonivritti Lakshana,Reproductive – female,Artava-vāha,Pitta
Delayed menopause,Artava Vriddhi,Reproductive – female,Artava-vāha,Kapha
Polycystic ovaries,Granthi,Reproductive – female,Artava-vāha,Kapha
Obesity-related infertility,Medo-vriddhi Vandhyatva,Reproductive – female,Artava-vāha,Kapha
Thin body infertility,Kshaya Vandhyatva,Reproductive – female,Artava-vāha,Vata
Chronic pelvic pain,Artava Shoola,Reproductive – female,Artava-vāha,Vata
Ovarian torsion,Artava Shoola,Reproductive – female,Artava-vāha,Vata
Tubal blockage,Sanga Vandhyatva,Reproductive – female,Artava-vāha,Kapha
Endometrial hyperplasia,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Uterine polyps,Granthi,Reproductive – female,Artava-vāha,Kapha
Pelvic infections,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Cervical erosion,Yonivyapad,Reproductive – female,Artava-vāha,Pitta
Cervical discharge,Yonivyapad,Reproductive – female,Artava-vāha,Kapha
Cervical pain,Yonivyapad,Reproductive – female,Artava-vāha,Vata
Postcoital bleeding,Artava Dushti,Reproductive – female,Artava-vāha,Pitta
Infertility due to infection,Yonivyapad Vandhyatva,Reproductive – female,Artava-vāha,Pitta
Postpartum weakness,Sutika Daurbalya,Reproductive – female,Artava-vāha,Vata
Postpartum depression,Sutika Vishada,Reproductive – female,Artava-vāha,Kapha
Postpartum anxiety,Sutika Chittodvega,Reproductive – female,Artava-vāha,Vata
Postpartum bleeding,Artava Atipravritti,Reproductive – female,Artava-vāha,Pitta
Postpartum pelvic pain,Artava Shoola,Reproductive – female,Artava-vāha,Vata
Lactation failure,Stanya Kshaya,Reproductive – female,Artava-vāha,Vata and Kapha
Low breast milk,Stanya Kshaya,Reproductive – female,Artava-vāha,Vata
Excess breast milk,Stanya Vriddhi,Reproductive – female,Artava-vāha,Kapha
Painful breastfeeding,Stanya Shoola,Reproductive – female,Artava-vāha,Vata
Breast engorgement,Stanya Shotha,Reproductive – female,Artava-vāha,Kapha
Mastitis,Stanya Dushti,Reproductive – female,Artava-vāha,Pitta
Nipple cracks,Stanya Dushti,Reproductive – female,Artava-vāha,Vata
Nipple pain,Stanya Shoola,Reproductive – female,Artava-vāha,Vata
Difficulty starting urination,Mutraghata,Urinary,Mutra-vāha,Vata
Interrupted urine flow,Mutraghata,Urinary,Mutra-vāha,Vata
Weak urine stream,Mutraghata,Urinary,Mutra-vāha,Vata
Straining to urinate,Mutraghata,Urinary,Mutra-vāha,Vata
Incomplete bladder emptying,Mutraghata,Urinary,Mutra-vāha,Vata
Dribbling of urine,Mutraghata,Urinary,Mutra-vāha,Vata
Urgency to urinate,Mutrakrichra,Urinary,Mutra-vāha,Vata
Incontinence of urine,Mutranirgraha,Urinary,Mutra-vāha,Vata
Foul-smelling urine,Mutra Dushti,Urinary,Mutra-vāha,Pitta
Nocturia,Ratri Mutrapravritti,Urinary,Mutra-vāha,Kapha
Pain in bladder region,Basti Shoola,Urinary,Mutra-vāha,Vata
Pelvic pain during urination,Basti Shoola,Urinary,Mutra-vāha,Vata
Lower abdominal heaviness,Basti Shoola,Urinary,Mutra-vāha,Kapha
Burning bladder sensation,Basti Daha,Urinary,Mutra-vāha,Pitta
Flank pain,Vrikkashoola,Urinary,Mutra-vāha,Vata
Stone pain,Ashmari Shoola,Urinary,Mutra-vāha,Vata
Passing kidney stones,Ashmari,Urinary,Mutra-vāha,Vata and Kapha
Gritty particles in urine,Ashmari,Urinary,Mutra-vāha,Kapha
Recurrent urinary infection,Mutrakrichra,Urinary,Mutra-vāha,Pitta and Kapha
Burning urethra,Daha,Urinary,Mutra-vāha,Pitta
Itching in urethra,Mutra Dushti,Urinary,Mutra-vāha,Kapha
Swelling in urethra,Mutra Shotha,Urinary,Mutra-vāha,Kapha
Pain in urethra,Mutrakrichra,Urinary,Mutra-vāha,Vata
Difficulty controlling urine,Mutranirgraha,Urinary,Mutra-vāha,Vata
Frequent small urinations,Mutrakrichra,Urinary,Mutra-vāha,Vata
Retention with overflow,Mutraghata,Urinary,Mutra-vāha,Vata
Urinary hesitancy,Mutraghata,Urinary,Mutra-vāha,Vata
Dark yellow urine,Mutra Dushti,Urinary,Mutra-vāha,Pitta
Pale urine,Mutra Kshaya,Urinary,Mutra-vāha,Vata
Excessive thirst with urination,Prameha,Urinary,Mutra-vāha,Pitta and Kapha
Foamy urine,Mutra Dushti,Urinary,Mutra-vāha,Kapha
Swelling of feet with urinary issues,Mutraghata,Urinary,Mutra-vāha,Kapha
Lower back pain with urination,Vrikkashoola,Urinary,Mutra-vāha,Vata
Pain radiating to groin,Ashmari Shoola,Urinary,Mutra-vāha,Vata
Frequent urination with weakness,Prameha,Urinary,Mutra-vāha,Kapha
Thick urine,Mutra Dushti,Urinary,Mutra-vāha,Kapha
Thin watery urine,Mutra Kshaya,Urinary,Mutra-vāha,Vata
Pus in urine,Mutrapuya,Urinary,Mutra-vāha,Pitta and Kapha
Urinary dribbling post-void,Mutraghata,Urinary,Mutra-vāha,Vata
Pain in prostate region,Mutraghata,Urinary,Mutra-vāha,Vata and Kapha
Difficulty urinating at night,Ratri Mutrapravritti,Urinary,Mutra-vāha,Kapha
Burning sensation after urination,Daha,Urinary,Mutra-vāha,Pitta
Profuse sweating on head,Atisveda,Sweat,Sveda-vāha,Pitta
Profuse sweating on palms,Atisveda,Sweat,Sveda-vāha,Pitta
Profuse sweating on soles,Atisveda,Sweat,Sveda-vāha,Pitta
Generalized body sweating,Atisveda,Sweat,Sveda-vāha,Pitta
Hot sweats,Atisveda,Sweat,Sveda-vāha,Pitta
Localized sweating,Atisveda,Sweat,Sveda-vāha,Kapha
Sweating only on half body,Atisveda,Sweat,Sveda-vāha,Vata
Sweating only on face,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating on armpits,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating on groin,Atisveda,Sweat,Sveda-vāha,Kapha
Sweating on chest,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating on back,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating on scalp,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating on neck,Atisveda,Sweat,Sveda-vāha,Pitta
Excessive sweating during fever,Jvara,Sweat,Sveda-vāha,Pitta
